motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
left,-0.95,0.20959460700396448,-0.95,-8421.0,0.08,0.72,-0.02,0.07,42.6,0,0,0,0
left,-0.9,0.0851898699766025,-0.9,-8421.0,0.06,0.96,0.01,-0.05,42.7,0,0,0,0
left,-0.9,0.22082190099172294,-0.9,-8000.0,0.03,0.74,-0.02,-0.01,42.7,0,0,0,0
left,-0.85,0.08507340401411057,-0.9,-8000.0,0.09,0.86,0.0,-0.09,42.7,0,0,0,0
left,-0.85,0.20997486799024045,-0.85,-7619.0,0.06,0.66,-0.01,-0.06,42.7,0,0,0,0
left,-0.8,0.08519940602127463,-0.8,-7619.0,0.17,0.84,0.0,-0.17,42.7,0,0,0,0
left,-0.8,0.20981187000870705,-0.8,-6956.0,0.1,0.6,-0.01,-0.1,42.7,0,0,0,0
left,-0.75,0.0851650420227088,-0.75,-7272.0,0.16,0.72,0.0,-0.16,42.7,0,0,0,0
left,-0.75,0.20974103797925636,-0.75,-6666.0,0.12,0.56,0.01,-0.12,42.7,0,0,0,0
left,-0.7,0.0851621109759435,-0.7,-6666.0,0.2,0.68,-0.02,-0.2,42.7,0,0,0,0
left,-0.7,0.20974399999249727,-0.7,-6153.0,0.12,0.5,0.0,-0.12,42.7,0,0,0,0
left,-0.65,0.09529877203749493,-0.7,-6153.0,0.2,0.6,0.0,-0.2,42.7,0,0,0,0
left,-0.65,0.2402105630026199,-0.65,-5714.0,0.13,0.46,0.0,-0.13,42.7,0,0,0,0
left,-0.6,0.09547310101334006,-0.6,-5714.0,0.24,0.58,-0.01,-0.24,42.7,0,0,0,0
left,-0.6,0.23032533802324906,-0.6,-5161.0,0.15,0.42,-0.01,-0.15,42.7,0,0,0,0
left,-0.55,0.08503055496839806,-0.55,-5333.0,0.25,0.54,0.0,-0.25,42.7,0,0,0,0
left,-0.55,0.22016615996835753,-0.55,-4705.0,0.13,0.38,0.0,-0.13,42.7,0,0,0,0
left,-0.5,0.08518004498910159,-0.5,-4848.0,0.24,0.48,-0.01,-0.24,42.7,0,0,0,0
left,-0.5,0.22028994001448154,-0.5,-4210.0,0.12,0.34,0.0,-0.12,42.7,0,0,0,0
